Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
53,23643,1,1,41,103,41,41,41.0,0.0,103,103,103.0,0.0,6090.5977,84.59164,23643.0,0.0,23643,23643,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,42.29582,42.29582,41,103,61.666668,35.795715,1281.3334,0,0,0,0,0,0,0,0,1,92.5,41.0,103.0,1,41,1,103,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
443,20667664,19,17,1115,18215,709,0,58.68421,168.29572,2896,0,1071.4706,952.8965,935.27747,1.7418514,590504.7,2354809.0,10000000,4,20700000,1148203.5,3230110.2,10000000,4,20200000,1263023.6,3422605.5,10000000,79,0,0,616,552,0.91931045,0.82254094,0,2896,522.43243,825.3225,681157.25,0,0,0,1,0,0,0,0,0,536.94446,58.68421,1071.4706,19,1115,17,18215,29200,123,4,32,90888.0,104039.445,164455,17321,10000000.0,24435.488,10000000,9996145
53,73294,1,1,54,179,54,54,54.0,0.0,179,179,179.0,0.0,3178.9778,27.287363,73294.0,0.0,73294,73294,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,13.643682,13.643682,54,179,95.666664,72.168785,5208.3335,0,0,0,0,0,0,0,0,1,143.5,54.0,179.0,1,54,1,179,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,60926,2,2,72,286,36,36,36.0,0.0,143,143,143.0,0.0,5875.9805,65.65341,20308.666,35170.445,60920,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,64,80,32.826706,32.826706,36,143,78.8,58.60631,3434.7,0,0,0,0,0,0,0,0,1,98.5,36.0,143.0,2,72,2,286,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,21454596,11,11,941,5262,573,0,85.545456,174.34412,1460,0,478.36365,632.1089,289.1222,1.0254213,1021647.44,2993733.5,9994901,3,21500000,2145459.5,4167200.8,10000000,162,20200000,2021765.8,4228472.0,10000000,3,0,0,232,256,0.51271063,0.51271063,0,1460,269.69565,487.3071,237468.22,0,0,0,1,0,0,0,0,1,281.95456,85.545456,478.36365,11,941,11,5262,8192,123,10,20,115186.0,89979.336,178811,51561,9993664.0,1748.675,9994901,9992428
21,260,2,1,14,0,14,0,7.0,9.899495,0,0,0.0,0.0,53846.152,11538.462,130.0,117.37972,213,47,260,260.0,0.0,260,260,0,0.0,0.0,0,0,1,0,64,20,7692.3076,3846.1538,0,14,7.0,8.082904,65.333336,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
21,8688315,9,15,101,188,20,0,11.222222,8.771798,34,0,12.533334,14.54975,33.263065,2.7623308,377752.8,980375.06,2996468,3,5826550,728318.75,1348540.6,3038744,3,8688196,620585.44,1210066.6,2996468,3,0,0,296,488,1.035874,1.7264568,0,34,11.56,12.463547,155.34,0,0,0,1,0,0,0,0,1,12.041667,11.222222,12.533334,9,101,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0
53,211,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1535545.0,18957.346,70.333336,80.847595,160,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,64,64,9478.673,9478.673,30,132,70.8,55.867702,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,2,60,2,264,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,116152734,22,19,1003,5451,543,0,45.590908,120.9036,1460,0,286.89474,522.09735,55.56477,0.3529835,2903818.2,4492033.5,10000000,3,116000000,5531082.5,4978364.5,10100000,3,111000000,6171804.0,5023968.0,10100000,48,0,0,452,524,0.18940578,0.16357772,0,1460,153.66667,377.13098,142227.78,0,0,0,1,0,0,0,0,0,157.41463,45.590908,286.89474,22,1003,19,5451,8192,980,21,20,102876.18,121976.82,470650,65942,9996439.0,12902.997,10000000,9957562
53,48875,2,2,64,134,32,32,32.0,0.0,67,67,67.0,0.0,4051.151,81.84143,16291.667,28212.799,48869,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,64,64,40.920715,40.920715,32,67,46.0,19.17029,367.5,0,0,0,0,0,0,0,0,1,57.5,32.0,67.0,2,64,2,134,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
3017,26,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,230769.23,76923.08,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,38461.54,38461.54,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,195110,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15.375942,97555.0,85262.94,157845,37265,195110,97555.0,85262.94,157845,37265,0,0.0,0.0,0,0,0,0,96,0,15.375942,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3,0,0,0,237,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,109,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18348.623,109.0,0.0,109,109,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,9174.312,9174.312,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1,0,1,0,260,236,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,27063805,70,84,11181,113008,490,0,159.72858,222.94777,2896,0,1345.3334,627.72314,4588.7485,5.6902566,176887.61,1228647.9,10000000,1,21200000,307185.0,1690679.9,10000000,1,27000000,325666.4,1663125.5,10000000,48,0,0,2248,2696,2.5864804,3.1037765,0,2896,801.21936,766.3857,587347.0,0,0,0,1,0,0,0,0,1,806.42206,159.72858,1345.3334,70,11181,84,113008,29200,16,24,32,594195.0,793038.6,1154958,33432,10000000.0,3986.668,10000000,10000000
53,159212,2,2,72,286,36,36,36.0,0.0,143,143,143.0,0.0,2248.5742,25.123734,53070.668,91856.15,159137,4,71,71.0,0.0,71,71,4,4.0,0.0,4,4,0,0,40,40,12.561867,12.561867,36,143,78.8,58.60631,3434.7,0,0,0,0,0,0,0,0,1,98.5,36.0,143.0,2,72,2,286,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,115739348,76,134,1654,218626,517,0,21.763159,89.89355,4344,0,1631.5374,874.31934,1903.2421,1.8144219,553776.8,2259451.5,10024784,0,115739348,1543191.2,3584010.8,10040003,3,110692064,832271.2,2768686.2,10039961,48,0,0,2440,4296,0.6566479,1.157774,0,4344,1043.9811,1044.3502,1090667.4,0,0,0,1,0,0,0,0,1,1048.9524,21.763159,1631.5374,76,1654,134,218626,29200,65,6,32,56516.332,143239.27,511362,14993,9588429.0,1434966.8,10024784,5031853
53,4307919,6,4,224,430,38,37,37.333332,0.5163978,133,82,107.5,29.444864,151.81345,2.3213065,478657.66,1392727.1,4191568,3,4291874,858374.8,1863902.8,4191723,3,4307809,1435936.4,2487070.5,4307758,3,0,0,144,104,1.3927839,0.9285226,37,133,62.909092,38.85989,1510.091,0,0,0,0,0,0,0,0,0,69.2,37.333332,107.5,6,224,4,430,-1,-1,5,20,0.0,0.0,0,0,0.0,0.0,0,0
80,287858,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.421805,143929.0,143754.81,245579,42279,287858,143929.0,143754.81,245579,42279,0,0.0,0.0,0,0,0,0,96,0,10.421805,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3,0,0,0,242,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,64063031,2,0,74,0,37,37,37.0,0.0,0,0,0.0,0.0,1.1551124,0.031219253,64100000.0,0.0,64100000,64100000,64100000,64100000.0,0.0,64100000,64100000,0,0.0,0.0,0,0,1,0,64,0,0.031219253,0.0,37,37,37.0,0.0,0.0,0,1,0,0,1,1,0,0,0,55.5,37.0,0.0,2,74,0,0,32832,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
8080,78234,4,3,210,134,198,0,52.5,97.04123,128,0,44.666668,72.23111,4397.0654,89.47517,13039.0,30948.94,76210,18,78234,26078.0,44518.37,77482,49,76786,38393.0,53481.312,76210,576,0,0,92,72,51.128666,38.3465,0,198,43.0,76.44232,5843.4287,0,0,0,1,0,0,0,0,0,49.142857,52.5,44.666668,4,210,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0
443,103503,11,7,627,4708,389,0,57.0,118.304695,1765,0,672.5714,806.8411,51544.4,173.908,6088.4116,10351.012,26288,3,103503,10350.3,16551.496,48734,3,75110,12518.333,13620.079,26288,3,0,0,364,232,106.277115,67.63089,0,1765,280.78946,565.1995,319450.5,0,0,0,1,0,0,0,0,0,296.3889,57.0,672.5714,11,627,7,4708,65535,972,5,32,0.0,0.0,0,0,0.0,0.0,0,0
53814,3,2,0,37,0,37,0,18.5,26.16295,0,0,0.0,0.0,12300000.0,666666.7,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,64,0,666666.7,0.0,0,37,24.666666,21.36196,456.33334,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,2,37,0,0,243,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,84609,2,2,66,534,33,33,33.0,0.0,267,267,267.0,0.0,7091.4443,47.276295,28203.0,48842.965,84602,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,64,64,23.638147,23.638147,33,267,126.6,128.16708,16426.8,0,0,0,0,0,0,0,0,1,158.25,33.0,267.0,2,66,2,534,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,105543,2,2,64,150,32,32,32.0,0.0,75,75,75.0,0.0,2027.6096,37.899246,35181.0,60931.816,105539,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,64,64,18.949623,18.949623,32,75,49.2,23.55207,554.7,0,0,0,0,0,0,0,0,1,61.5,32.0,75.0,2,64,2,150,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,95,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,126315.79,21052.63,95.0,0.0,95,95,95,95.0,0.0,95,95,0,0.0,0.0,0,0,0,0,40,0,21052.63,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,2,12,0,0,257,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,5778254,8,6,406,4875,225,0,50.75,81.942055,1689,2,812.5,802.6939,913.9439,2.4228773,444481.06,1518055.4,5495155,12,5778254,825464.9,2060027.0,5495155,12,103719,20743.8,27264.291,55094,50,0,0,172,124,1.3845012,1.038376,0,1689,352.06668,620.53357,385061.94,0,0,0,1,0,0,0,0,0,377.2143,50.75,812.5,8,406,6,4875,8192,30016,7,20,283087.0,0.0,283087,283087,5495155.0,0.0,5495155,5495155
8080,1001746,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.968626,5.9895425,200349.2,273672.2,500358,349,1001397,500698.5,236.88077,500866,500531,1001141,500570.5,193.04015,500707,500434,0,0,92,60,2.9947712,2.9947712,0,6,2.5714285,3.207135,10.285714,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0
53,177,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,1175141.2,22598.87,59.0,96.13012,170,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,64,64,11299.435,11299.435,36,68,48.8,17.527122,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,2,72,2,136,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
